elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
10.26,0.0085,-0.3090,0.0167,-0.6089
11.01,-0.9077,-0.3904,-1.1833,-0.5089
11.60,-1.1074,0.4732,-1.3833,0.5911
20.71,-1.7499,-0.4799,-2.0376,-0.5651
21.10,-1.7910,0.3714,-2.0876,0.4168
31.02,-1.2465,-0.2399,-1.5400,-0.3019
33.92,-1.9588,-0.6063,-2.2400,-0.7108
46.34,-0.8907,-0.2193,-1.1900,-0.2396
54.48,-1.6438,-0.1918,-1.9400,-0.2396
62.62,0.3641,0.3280,0.6100,0.4998
63.27,-0.5765,0.7566,-0.6400,1.0498
63.79,-1.8547,0.3570,-2.1400,0.4498
64.39,0.2958,-0.7401,0.5100,-0.9502
72.57,-2.1432,-0.3062,-2.4400,-0.3502
73.58,0.2626,0.7739,0.4600,0.9998
77.53,-0.7295,0.8500,-0.7400,1.1498
78.63,-1.9901,0.9339,-2.2400,1.0998
80.78,-1.6476,-0.1833,-1.9400,-0.2502
85.69,-0.9656,1.5592,-1.0400,1.8498
89.09,0.3286,0.3959,0.6100,0.4998
89.72,-1.8515,0.3677,-2.1400,0.4498
94.68,-1.0892,0.8905,-1.2400,1.1498
98.50,-1.6458,-0.1913,-1.9400,-0.2502
99.00,-1.9903,0.9336,-2.2400,1.0998
101.89,0.3281,0.3972,0.6100,0.4998
103.59,-0.5602,1.1505,-0.5400,1.4498
106.64,-2.1459,-0.2911,-2.4400,-0.3502
112.99,-1.0835,0.8939,-1.2400,1.1498
114.39,-1.9900,0.9341,-2.2400,1.0998
114.98,-1.6466,-0.1874,-1.9400,-0.2502
116.66,0.3264,0.4020,0.6100,0.4998
120.57,-0.1418,1.0543,-0.0900,1.3498
122.24,-0.9245,1.3730,-1.0400,1.6498
123.09,-1.8506,0.3708,-2.1400,0.4498
128.87,0.2678,1.2644,0.3600,1.5498
131.38,-1.6418,-0.2834,-1.9400,-0.2502
132.35,-2.0019,0.9173,-2.2400,1.0998
132.92,0.4105,0.2758,0.6100,0.4998
135.62,-0.5918,1.3537,-0.6400,1.6498
140.28,-2.1432,-0.3936,-2.4400,-0.3502
142.01,-1.8878,0.3874,-2.1400,0.5498
144.00,0.1009,1.2557,0.1600,1.5498
148.51,0.4054,0.2805,0.6100,0.4998
150.75,-1.6626,-0.3645,-1.9400,-0.2502
