elapsed_s,x_m,y_m
7.94,0.0000,0.0000
21.45,0.2031,0.1198
23.45,0.4061,0.1611
31.55,0.1534,0.0835
32.69,-0.0626,0.0755
35.05,0.1387,0.1058
36.66,0.2980,-0.0207
39.53,0.1782,0.1443
43.65,0.0456,-0.0110
46.71,-0.0080,-0.2151
48.27,-0.2658,-0.1264
55.15,-0.3307,0.0731
62.16,-0.3420,-0.1302
71.25,-0.1535,-0.0145
73.36,-0.3733,-0.0295
73.65,-0.6070,0.1002
113.06,-0.4920,-0.0695
115.35,-0.6673,0.0426
119.99,-0.4522,-0.0573
123.15,-0.2357,-0.1246
125.45,-0.2141,-0.3454
136.95,-0.3197,-0.5670
147.65,-0.5886,-0.7855
