elapsed_s,x_rel_m,y_rel_m
18.49,0.0000,0.0000
21.19,-0.0104,-0.0002
21.89,-0.0826,-0.0035
22.59,-0.1559,-0.0121
23.29,-0.2130,-0.0234
23.89,-0.1372,-0.0149
24.91,-0.1582,-0.0204
25.09,-0.0053,-0.0198
25.50,-0.0707,-0.0436
26.19,0.1779,0.0012
26.90,0.1167,-0.0292
27.19,0.3253,0.0323
27.89,0.2633,-0.0028
28.89,0.3000,0.0117
29.02,0.4608,0.0955
29.49,0.6039,0.1610
30.19,0.5504,0.1143
30.49,0.6421,0.1664
30.89,0.6955,0.1908
31.59,0.6512,0.1322
31.89,0.8459,0.2776
32.49,0.8118,0.2128
33.29,0.9678,0.3770
