elapsed_s,x_rel_m,y_rel_m
22.25,0.0000,0.0000
28.45,0.0002,-0.0188
29.16,0.0214,-0.0750
29.85,0.0532,-0.1253
30.56,0.0924,-0.1708
31.00,0.1040,0.0451
31.80,0.1447,0.0130
32.35,0.0674,0.0923
32.60,-0.0400,0.2082
33.45,0.0154,0.1640
34.45,0.0023,0.1751
35.61,-0.0143,0.1900
36.65,-0.0304,0.2082
37.66,-0.0512,0.2316
38.75,-0.0416,0.2204
39.15,-0.0090,0.1399
39.85,0.0513,0.1064
40.86,0.0802,0.0901
42.06,0.0829,0.0911
43.07,0.1263,0.0894
43.58,-0.0437,0.1288
44.67,-0.0482,0.1285
45.78,-0.0484,0.1286
46.85,-0.0670,0.1298
48.45,-0.0667,0.1298
49.45,-0.0669,0.1298
50.46,-0.0746,0.1303
51.62,-0.0944,0.1276
52.65,-0.1173,0.1303
53.68,-0.0915,0.1260
53.95,-0.0189,0.1261
54.96,-0.0141,0.1261
56.05,-0.0303,0.1238
56.56,0.0358,0.1361
57.58,0.0708,0.1431
57.77,0.1435,0.1512
58.15,0.0848,0.1150
59.15,0.0527,0.1223
59.45,-0.2058,0.1310
60.48,-0.2502,0.1271
