elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
6.76,-0.4708,-0.1868,-0.7497,-0.2974
7.25,-0.4744,0.6591,-0.6497,0.9026
7.76,-1.7497,0.0022,-2.0497,0.0026
12.04,-1.9954,1.2397,-2.2497,1.3988
16.23,-1.0523,-0.2119,-1.3497,-0.2512
17.75,0.2418,1.4489,0.3503,1.7286
18.25,0.5511,0.2071,0.8503,0.2286
24.40,-1.5077,-0.1697,-1.8032,-0.2214
26.31,-0.3265,1.6798,-0.3532,1.9786
28.34,-1.1601,1.3814,-1.3300,1.6286
28.82,0.5741,1.7665,0.7200,2.0286
30.56,0.6995,0.9488,0.9700,1.0786
36.73,-1.7936,1.4495,-1.9872,1.6786
38.95,0.5643,0.1974,0.8628,0.2272
40.55,-0.5472,1.4774,-0.5372,1.7772
43.41,0.4140,1.6667,0.5628,1.9272
49.79,-0.9826,1.3460,-1.0872,1.6272
50.73,0.6922,0.8976,0.9628,1.0272
51.27,-1.8536,1.4824,-2.0872,1.6705
52.87,0.5251,-0.1963,0.7628,-0.3795
