elapsed_s,x_m,y_m
5.07,0.0000,0.0000
38.31,0.1976,-0.0827
41.67,-0.0042,-0.0659
43.00,-0.0511,-0.2659
45.87,-0.0631,-0.0565
47.17,-0.0644,0.1590
52.77,-0.1736,-0.0113
55.69,-0.1287,0.1838
57.77,-0.3452,0.2227
59.27,-0.1630,0.3345
95.45,0.0419,0.3794
111.88,-0.1580,0.4854
113.07,-0.0515,0.7044
113.57,0.1407,0.8352
114.17,0.2416,0.6569
115.07,0.3110,0.4679
116.68,0.4405,0.6389
121.57,0.3247,0.3488
126.27,0.5144,0.4397
129.69,0.3452,0.3312
131.88,0.5450,0.3213
134.67,0.3269,0.2905
135.27,0.1158,0.2760
140.87,0.2847,0.1212
150.00,0.0777,0.0208
150.80,-0.1736,0.0972
153.07,-0.0903,0.4275
153.47,-0.0684,0.6369
156.10,-0.0927,0.4166
