elapsed_s,x_m,y_m
8.60,0.0000,0.0000
24.54,0.2006,-0.0558
25.74,0.3974,0.0235
26.34,0.3977,0.3024
26.44,0.3343,0.5137
28.54,0.1463,0.4309
28.94,-0.0620,0.4649
30.34,-0.2599,0.3293
30.74,-0.0505,0.5605
32.34,0.0976,0.8086
41.14,0.2048,0.9853
42.36,0.1955,1.1977
44.74,-0.0214,1.0701
46.24,0.1606,0.9039
46.94,-0.0123,1.0558
52.84,0.0645,0.7365
54.14,0.0890,0.9402
57.06,-0.0337,1.1192
60.74,-0.2218,1.0493
61.94,-0.2630,0.8365
63.04,-0.0741,0.9333
66.04,-0.1426,0.7374
67.26,-0.3377,0.6496
68.64,-0.4887,0.4504
69.45,-0.2563,0.5531
71.24,-0.1171,0.7754
72.54,-0.1767,0.9965
75.14,-0.2462,0.8037
77.54,-0.4245,0.6790
79.66,-0.6476,0.6702
81.74,-0.4339,0.6804
