elapsed_s,x_m,y_m
8.24,0.0000,0.0000
22.69,0.2076,-0.0142
23.78,0.4155,-0.0784
25.39,0.1177,-0.1176
26.49,-0.1125,-0.0342
27.19,-0.4416,0.1654
28.22,-0.2683,0.0280
29.29,-0.1034,-0.1162
31.60,-0.3521,0.0778
33.28,-0.5429,0.2461
34.48,-0.6798,0.3930
35.08,-0.9050,0.6773
36.69,-0.7579,0.4931
39.92,-0.5669,0.4007
40.99,-0.7160,0.5631
42.98,-0.7063,0.3628
44.38,-0.5096,0.2896
44.79,-0.5974,0.5297
49.01,-0.8016,0.5601
49.99,-0.6110,0.4485
51.08,-0.7627,0.6123
51.99,-0.9276,0.7256
53.80,-0.7737,0.5647
64.59,-0.9402,0.6854
71.18,-1.0887,0.8265
