elapsed_s,x_rel_raw_m,y_rel_raw_m,x_rel_smooth_m,y_rel_smooth_m,x_explored_raw_m,y_explored_raw_m,x_explored_smooth_m,y_explored_smooth_m
14.55,0.0000,0.0000,0.0215,-0.0284,0.0000,0.0000,0.0215,-0.0284
30.96,0.0105,-0.0219,0.0430,-0.0438,0.0105,-0.0219,0.0430,-0.0438
31.56,0.0540,-0.0633,0.0572,-0.0533,0.0540,-0.0633,0.0572,-0.0533
32.25,0.1074,-0.0899,0.0557,-0.0224,0.1074,-0.0899,0.0557,-0.0224
33.36,0.1139,-0.0916,0.0514,0.0155,0.1139,-0.0916,0.0514,0.0155
33.97,-0.0073,0.1545,0.0313,0.0694,-0.0073,0.1545,0.0313,0.0694
34.97,-0.0113,0.1679,-0.0022,0.1299,-0.0113,0.1679,-0.0022,0.1299
35.95,-0.0464,0.2061,-0.0400,0.1913,-0.0464,0.2061,-0.0400,0.1913
36.96,-0.0601,0.2125,-0.0565,0.2033,-0.0601,0.2125,-0.0565,0.2033
38.05,-0.0748,0.2153,-0.0678,0.2122,-0.0748,0.2153,-0.0678,0.2122
39.15,-0.0898,0.2149,-0.0749,0.2142,-0.0898,0.2149,-0.0749,0.2142
