elapsed_s,x_m,y_m
11.83,0.0000,0.0000
48.02,0.1958,0.0413
52.28,0.0368,-0.0838
52.68,-0.1776,-0.0534
55.28,0.0338,-0.0525
56.08,-0.1690,-0.0335
56.58,-0.3734,-0.0245
58.18,-0.1582,-0.0428
61.98,-0.4185,-0.0292
64.00,-0.2112,-0.0400
65.18,0.0257,-0.0420
66.58,-0.3290,-0.0271
69.18,-0.1131,-0.0254
70.48,-0.4204,-0.0357
72.88,-0.2092,-0.0327
74.88,-0.4481,-0.0325
77.18,-0.1869,-0.0248
77.88,0.0229,-0.0187
79.78,-0.1826,-0.0302
80.18,-0.4407,-0.0314
81.99,-0.2323,-0.0204
83.88,-0.4500,-0.0401
91.78,-0.6853,-0.0514
95.31,-0.9356,-0.0679
95.50,-0.4230,-0.0442
96.98,0.0821,0.0072
97.18,0.3910,0.0540
97.49,0.6020,0.0757
102.08,0.3572,0.0201
103.78,0.0592,-0.0045
104.28,-0.2463,-0.0192
104.98,-0.4524,-0.0291
106.48,-0.6665,-0.0380
108.18,-0.4288,-0.0312
108.78,-0.1280,-0.0180
109.68,0.0835,-0.0041
111.95,-0.1209,0.0139
114.99,-0.3525,-0.0156
115.88,-0.5593,-0.0484
116.88,-0.3509,-0.0440
119.18,-0.5566,-0.0203
121.48,-0.3043,-0.0515
122.42,-0.1140,-0.1300
123.58,-0.3083,-0.0503
126.08,-0.1063,-0.0483
127.38,-0.3884,-0.0195
129.47,-0.2151,-0.1481
133.58,-0.4135,0.0103
133.78,-0.5957,0.2558
135.18,-0.4607,0.1052
135.48,-0.3440,-0.0876
136.08,-0.2308,-0.2560
137.28,-0.3262,-0.0782
143.48,-0.4093,0.1292
145.18,-0.5678,0.3051
146.98,-0.7951,0.4159
149.34,-0.9899,0.4723
150.11,-1.2111,0.3362
154.78,-1.0266,0.1321
155.28,-0.9033,-0.0394
156.08,-1.0793,0.0564
157.28,-1.2417,0.2332
158.61,-1.2404,-0.0088
159.98,-1.2870,-0.2279
160.98,-1.1665,-0.4025
161.70,-0.9376,-0.4313
162.38,-0.7394,-0.3597
166.98,-0.5453,-0.3060
167.68,-0.4466,-0.1084
173.18,-0.3517,-0.3009
174.28,-0.3036,-0.0887
