elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
19.36,0.0000,0.0000,0.0000,0.0000
38.36,-0.0142,-0.0002,-0.0142,-0.0002
39.09,-0.0688,-0.0037,-0.0688,-0.0037
39.61,-0.1229,-0.0109,-0.1229,-0.0109
40.25,-0.1757,-0.0225,-0.1757,-0.0225
40.96,-0.0462,-0.0129,-0.0462,-0.0129
41.28,0.0648,-0.0027,0.0648,-0.0027
41.96,0.1162,0.0069,0.1162,0.0069
42.16,0.2489,0.0440,0.2489,0.0440
43.17,0.2937,0.0564,0.2937,0.0564
49.97,0.2938,0.0564,0.2938,0.0564
67.17,0.2801,0.0522,0.2801,0.0522
67.76,0.2290,0.0333,0.2290,0.0333
68.36,0.1804,0.0098,0.1804,0.0098
70.96,0.5678,0.1170,0.5678,0.1170
72.05,0.5730,0.1179,0.5730,0.1179
73.06,0.5940,0.1216,0.5940,0.1216
73.79,0.5340,0.1103,0.5340,0.1103
74.86,0.4978,0.1021,0.4978,0.1021
75.86,0.5207,0.1071,0.5207,0.1071
76.11,0.5697,0.1179,0.5697,0.1179
77.17,0.5888,0.1220,0.5888,0.1220
78.97,0.5860,0.1213,0.5860,0.1213
80.07,0.6142,0.1301,0.6142,0.1301
81.17,0.6140,0.1301,0.6140,0.1301
83.36,0.6000,0.1281,0.6000,0.1281
84.37,0.5561,0.1193,0.5561,0.1193
85.38,0.5563,0.1194,0.5563,0.1194
91.36,0.5564,0.1194,0.5564,0.1194
92.47,0.5567,0.1195,0.5567,0.1195
93.49,0.5564,0.1194,0.5564,0.1194
121.36,0.5637,0.1254,0.5637,0.1254
122.37,0.5633,0.1251,0.5633,0.1251
136.57,0.5633,0.1196,0.5633,0.1196
137.16,0.5659,0.0642,0.5659,0.0642
137.78,0.5704,0.0106,0.5704,0.0106
138.38,0.5774,-0.0428,0.5774,-0.0428
139.36,0.6385,0.2472,0.6385,0.2472
140.36,0.6591,0.1893,0.6591,0.1893
141.38,0.6778,0.1372,0.6778,0.1372
142.17,0.7000,0.0796,0.7000,0.0796
142.69,0.6747,0.1605,0.6747,0.1605
143.09,0.5579,0.5291,0.5579,0.5291
143.96,0.5254,0.6108,0.5254,0.6108
144.26,0.4711,0.7450,0.4711,0.7450
145.26,0.5058,0.6958,0.5058,0.6958
145.96,0.5550,0.6694,0.5550,0.6694
146.66,0.6057,0.6538,0.6057,0.6538
147.11,0.5918,0.7158,0.5918,0.7158
147.36,0.5512,0.7900,0.5512,0.7900
