elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
8.58,0.1935,-0.5251,0.2972,-0.8066
9.10,-0.7605,0.1758,-1.0528,0.2434
9.83,-1.2866,-0.6683,-1.5528,-0.8066
13.73,-1.8669,0.1654,-2.1656,0.1930
14.24,-2.0005,-1.0666,-2.2656,-1.2070
17.33,-0.1148,-1.0613,-0.1656,-1.3570
18.49,-0.9917,-1.1073,-1.2156,-1.3070
22.25,-1.3777,0.1804,-1.6750,0.2208
27.00,-1.3642,-1.4161,-1.5753,-1.6292
30.77,0.2239,-0.8836,0.2747,-1.1792
31.38,-1.8756,0.1574,-2.1753,0.1708
39.07,-0.2396,-1.0917,-0.3253,-1.3792
48.10,0.2628,-1.1293,0.2698,-1.4292
49.16,-1.3812,0.1963,-1.6802,0.2208
57.92,-1.8803,0.1678,-2.1802,0.1772
62.00,0.3336,-1.3750,0.3698,-1.6728
74.24,-1.5310,0.1957,-1.8302,0.2183
75.95,0.3572,-0.8383,0.4198,-1.1317
84.88,-0.1860,-1.3693,-0.2802,-1.6541
93.23,0.3386,-1.3557,0.3698,-1.6541
105.95,-0.1903,-1.3679,-0.2802,-1.6541
117.97,0.3481,-1.3549,0.3698,-1.6541
130.83,-0.1912,-1.3676,-0.2802,-1.6541
