elapsed_s,area_m2,percent_known,known_cells,total_cells
0.91,4.538,82.35,1815,2204
2.89,4.538,82.35,1815,2204
5.83,4.538,82.35,1815,2204
7.12,4.538,82.35,1815,2204
8.98,4.538,82.35,1815,2204
10.81,4.538,82.35,1815,2204
12.60,4.538,82.35,1815,2204
14.45,4.538,82.35,1815,2204
16.06,4.538,82.35,1815,2204
18.14,4.538,82.35,1815,2204
20.10,4.538,82.35,1815,2204
22.06,4.538,82.35,1815,2204
24.06,4.538,82.35,1815,2204
26.06,4.538,82.35,1815,2204
28.07,4.538,82.35,1815,2204
30.08,4.538,82.35,1815,2204
32.07,4.538,82.35,1815,2204
34.06,4.538,82.35,1815,2204
36.07,4.538,82.35,1815,2204
38.07,4.538,82.35,1815,2204
40.06,4.538,82.35,1815,2204
42.07,4.538,82.35,1815,2204
44.06,4.538,82.35,1815,2204
46.06,4.538,82.35,1815,2204
48.07,4.538,82.35,1815,2204
50.07,4.538,82.35,1815,2204
52.15,5.380,95.14,2152,2262
54.06,5.513,93.43,2205,2360
56.08,5.513,88.91,2184,2480
58.07,5.513,88.91,2184,2480
60.32,5.513,88.91,2189,2480
62.07,5.575,85.64,2230,2604
64.74,5.648,85.37,2259,2646
66.38,5.660,85.56,2264,2646
68.07,5.663,85.60,2265,2646
70.07,5.663,85.60,2265,2646
72.06,5.663,85.60,2265,2646
74.06,5.663,85.60,2265,2646
76.07,5.663,85.60,2265,2646
78.07,5.663,85.60,2265,2646
80.07,5.663,85.60,2265,2646
82.07,5.663,85.60,2265,2646
84.07,5.663,85.60,2265,2646
86.06,5.663,85.60,2265,2646
88.06,5.663,85.60,2265,2646
90.06,5.663,85.60,2265,2646
92.08,5.663,85.60,2265,2646
94.24,5.663,85.60,2265,2646
96.07,5.663,85.60,2265,2646
98.08,5.663,85.60,2265,2646
100.06,5.663,85.60,2265,2646
102.07,5.663,85.60,2265,2646
104.07,5.663,85.60,2265,2646
106.06,5.663,85.60,2265,2646
108.07,5.663,85.60,2265,2646
110.06,5.663,85.60,2265,2646
112.17,5.663,85.60,2265,2646
114.07,5.663,85.60,2265,2646
116.10,5.663,85.60,2265,2646
118.06,5.663,85.60,2265,2646
120.06,5.663,85.60,2265,2646
122.08,5.663,85.60,2265,2646
124.06,5.663,85.60,2265,2646
126.07,5.663,85.60,2265,2646
128.07,5.663,85.60,2265,2646
130.07,5.663,85.60,2265,2646
132.07,5.663,85.60,2265,2646
