elapsed_s,x_m,y_m
6.41,0.0000,0.0000
29.68,-0.2421,0.0125
31.97,0.0210,-0.0047
33.17,0.2339,0.0218
39.67,0.4300,-0.0641
39.77,0.1271,-0.0587
41.97,-0.0961,0.0143
42.57,-0.2936,0.0785
43.87,-0.0209,-0.0023
46.57,0.1833,-0.0624
49.97,-0.0543,0.0058
51.57,0.1308,-0.0938
53.00,0.3206,-0.1968
53.97,0.1411,-0.0964
55.27,-0.0783,0.0194
58.97,0.1225,-0.0713
60.17,0.3304,-0.1293
61.67,0.0588,-0.0227
64.67,0.2703,-0.0956
67.66,0.0586,-0.0414
68.07,-0.1002,0.0896
70.47,0.0280,-0.0833
72.06,0.2366,-0.1809
73.97,0.0421,-0.0249
76.97,0.2330,-0.2169
79.47,0.0688,-0.0780
80.57,-0.0740,0.1012
83.97,0.0758,-0.0563
85.17,0.2479,-0.1867
87.57,0.0661,-0.0893
87.86,-0.0410,0.0848
89.92,0.0732,-0.0983
90.97,0.1880,-0.2813
91.68,0.0277,-0.0966
93.17,-0.0397,0.1080
93.58,-0.1530,0.3640
94.07,-0.2390,0.5572
95.67,-0.1086,0.2763
97.07,-0.0199,0.0953
98.17,0.0761,-0.0985
