elapsed_s,x_rel_m,y_rel_m
15.63,0.0000,0.0000
20.03,-0.0009,-0.0000
21.13,-0.0155,-0.0005
22.14,-0.0306,-0.0012
23.23,-0.0456,-0.0020
24.23,-0.0605,-0.0027
25.24,-0.0755,-0.0035
26.24,-0.0905,-0.0042
27.34,-0.1104,-0.0053
28.43,-0.1254,-0.0061
29.43,-0.1404,-0.0070
30.43,-0.1553,-0.0078
31.55,-0.1703,-0.0087
32.71,-0.1803,-0.0093
33.73,-0.1809,-0.0093
34.03,-0.1208,-0.0056
34.33,-0.0607,-0.0016
35.33,-0.0504,-0.0004
36.43,-0.0653,-0.0007
37.54,-0.0803,-0.0011
38.62,-0.0953,-0.0015
39.65,-0.1103,-0.0019
40.74,-0.1253,-0.0023
41.74,-0.1453,-0.0029
42.83,-0.1602,-0.0034
43.95,-0.1702,-0.0037
45.53,-0.1902,-0.0044
46.33,-0.0252,-0.0049
47.43,-0.0402,-0.0052
48.45,-0.0502,-0.0054
49.54,-0.0702,-0.0059
50.66,-0.0852,-0.0063
51.73,-0.1052,-0.0069
52.73,-0.1152,-0.0072
53.83,-0.1352,-0.0078
54.93,-0.1502,-0.0083
56.04,-0.1702,-0.0089
57.13,-0.1430,-0.0084
58.14,-0.1578,-0.0060
59.23,-0.1713,0.0003
60.36,-0.1824,0.0103
61.33,0.2029,-0.0521
62.39,0.1898,-0.0115
62.76,0.1846,0.0394
63.33,0.3565,-0.1400
