elapsed_s,area_m2,percent_known,known_cells,total_cells
10.01,4.780,84.53,1912,2262
11.60,4.780,84.53,1912,2262
13.09,4.780,84.53,1912,2262
14.11,4.780,84.53,1912,2262
15.00,4.780,84.53,1912,2262
15.30,4.780,84.53,1912,2262
16.29,4.780,84.53,1912,2262
17.28,4.780,84.53,1912,2262
18.28,4.780,84.53,1912,2262
19.28,4.780,84.53,1912,2262
20.32,4.780,84.53,1912,2262
21.63,4.780,84.53,1912,2262
22.30,4.780,84.53,1912,2262
23.32,4.780,84.53,1912,2262
24.30,4.780,84.53,1912,2262
25.27,4.780,84.53,1912,2262
26.31,4.780,84.53,1912,2262
27.27,4.780,84.53,1912,2262
28.27,4.780,84.53,1912,2262
29.31,4.780,84.53,1912,2262
30.28,4.780,84.53,1912,2262
31.28,4.780,84.53,1912,2262
32.27,4.780,84.53,1912,2262
33.30,5.393,95.36,2157,2262
34.27,5.393,95.36,2157,2262
35.31,5.393,95.36,2157,2262
36.27,5.393,95.36,2157,2262
37.27,5.393,95.36,2157,2262
38.27,5.393,95.36,2157,2262
39.28,5.393,95.36,2157,2262
40.31,5.393,95.36,2157,2262
41.32,5.393,95.36,2157,2262
42.32,5.393,95.36,2157,2262
43.59,5.393,95.36,2157,2262
44.61,5.393,95.36,2157,2262
45.34,5.410,95.67,2164,2262
46.27,5.410,95.67,2164,2262
47.27,5.410,95.67,2164,2262
48.27,5.410,95.67,2164,2262
49.28,5.410,95.67,2164,2262
50.32,5.410,95.67,2164,2262
51.28,5.410,95.67,2164,2262
52.33,5.410,95.67,2164,2262
53.30,5.410,95.67,2164,2262
54.28,5.410,95.67,2164,2262
55.29,5.410,95.67,2164,2262
56.27,5.410,95.67,2164,2262
57.27,5.410,95.67,2164,2262
58.27,5.410,95.67,2164,2262
59.31,5.410,95.67,2164,2262
60.49,5.460,94.14,2184,2320
61.29,5.460,94.14,2184,2320
62.43,5.463,94.18,2185,2320
63.28,5.463,94.18,2185,2320
