elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
24.59,0.0000,0.0000,0.0000,0.0000
32.60,-0.0023,-0.0001,-0.0023,-0.0001
33.61,-0.0175,-0.0004,-0.0175,-0.0004
34.69,-0.0325,-0.0010,-0.0325,-0.0010
35.70,-0.0424,-0.0028,-0.0424,-0.0028
36.70,-0.0518,-0.0061,-0.0518,-0.0061
37.82,-0.0688,-0.0165,-0.0688,-0.0165
38.91,-0.0824,-0.0313,-0.0824,-0.0313
39.99,-0.0918,-0.0497,-0.0918,-0.0497
40.79,0.1884,0.1465,0.1884,0.1465
41.01,0.5244,0.4082,0.5244,0.4082
42.02,0.5275,0.3858,0.5275,0.3858
43.10,0.5197,0.4156,0.5197,0.4156
44.11,0.5259,0.4078,0.5259,0.4078
45.20,0.5235,0.4068,0.5235,0.4068
46.26,0.5296,0.3972,0.5296,0.3972
47.30,0.5332,0.3870,0.5332,0.3870
48.40,0.5270,0.4134,0.5270,0.4134
49.50,0.5155,0.4522,0.5155,0.4522
50.49,0.4942,0.5031,0.4942,0.5031
51.20,0.5096,0.6627,0.5096,0.6627
51.59,0.5097,0.7176,0.5097,0.7176
51.90,0.5449,0.8393,0.5449,0.8393
52.60,0.4923,0.8709,0.4923,0.8709
53.19,0.4318,0.9017,0.4318,0.9017
53.59,0.4005,0.8194,0.4005,0.8194
54.20,0.3252,0.8391,0.3252,0.8391
54.60,0.4021,0.8297,0.4021,0.8297
55.19,0.3179,0.8539,0.3179,0.8539
56.21,0.3344,0.8488,0.3344,0.8488
56.59,0.2366,0.8732,0.2366,0.8732
57.11,0.1847,0.8833,0.1847,0.8833
57.20,0.3133,0.8617,0.3133,0.8617
57.61,0.2595,0.8768,0.2595,0.8768
57.99,0.2034,0.8904,0.2034,0.8904
58.21,0.2856,0.8727,0.2856,0.8727
58.59,0.2268,0.8893,0.2268,0.8893
58.89,0.1659,0.9041,0.1659,0.9041
59.29,0.2641,0.8800,0.2641,0.8800
59.89,0.2007,0.8979,0.2007,0.8979
60.89,0.1458,0.9231,0.1458,0.9231
61.46,0.2138,0.8990,0.2138,0.8990
61.69,0.1402,0.9200,0.1402,0.9200
62.59,0.0289,0.9494,0.0289,0.9494
62.89,0.1514,0.9055,0.1514,0.9055
63.19,0.0701,0.9270,0.0701,0.9270
63.62,0.1571,0.8966,0.1571,0.8966
63.89,0.0729,0.9196,0.0729,0.9196
64.20,-0.0137,0.9400,-0.0137,0.9400
65.02,0.1661,0.8911,0.1661,0.8911
65.43,0.0877,0.9132,0.0877,0.9132
65.80,0.0309,0.9276,0.0309,0.9276
66.81,0.0083,0.9343,0.0083,0.9343
67.30,0.0735,0.9110,0.0735,0.9110
67.40,-0.0231,0.9364,-0.0231,0.9364
68.52,-0.0271,0.9241,-0.0271,0.9241
68.99,-0.1381,0.9493,-0.1381,0.9493
70.05,-0.1801,0.9566,-0.1801,0.9566
71.10,-0.1572,0.9449,-0.1572,0.9449
71.22,-0.0531,0.9220,-0.0531,0.9220
71.49,-0.2920,0.9736,-0.2920,0.9736
71.81,-0.1625,0.9477,-0.1625,0.9477
72.29,-0.0945,0.9288,-0.0945,0.9288
72.60,-0.1706,0.9440,-0.1706,0.9440
72.89,-0.2994,0.9707,-0.2994,0.9707
73.29,-0.2211,0.9525,-0.2211,0.9525
73.57,-0.3519,0.9778,-0.3519,0.9778
