elapsed_s,x_m,y_m
8.97,0.0000,0.0000
20.10,0.1934,-0.0631
27.16,0.0679,0.1140
32.70,-0.1333,0.1161
39.01,0.0689,0.1895
40.00,0.2773,0.2150
44.91,0.0468,0.2441
51.50,0.1876,0.0677
63.71,0.1713,-0.1475
65.05,-0.0255,-0.2216
70.21,0.1857,-0.2170
77.90,-0.0379,-0.1503
90.00,0.0963,-0.3036
145.01,0.2894,-0.2321
156.11,0.0979,-0.2940
250.51,-0.1149,-0.3044
254.61,0.0466,-0.1818
264.63,-0.1456,-0.2609
268.57,0.0584,-0.3102
278.10,-0.1113,-0.1910
281.61,0.0742,-0.2729
287.50,-0.1046,-0.1688
314.92,0.0794,-0.2613
318.63,-0.1139,-0.1610
322.81,0.0637,-0.2732
331.21,-0.0968,-0.1519
353.21,0.0708,-0.2794
